type_habits,price,adress,url_image
Pantalon homme,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5305847_uploaded_image2_1746059808.jpeg
Paquet Tshirt cotton 100℅,7 500,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5306801_uploaded_image1_1746115281.jpg
Ensemble homme,13 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5313236_uploaded_image1_1746467678.jpg
Jean homme,7 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5314908_uploaded_image1_1746554002.jpg
Ensemble homme,13 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5314912_uploaded_image1_1746554095.jpg
Lacoste coton,6 500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5314904_uploaded_image1_1746553879.jpg
Bassin riche,5 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5314920_uploaded_image1_1746554358.jpg
Chemise homme,25 000,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/5346211_uploaded_image1_1748266571.jpg
Chemise,25 000,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/5346271_uploaded_image1_1748268399.jpg
Ensemble homme,15 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5318670_uploaded_image1_1746734969.jpg
Ensemble homme,13 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5318674_uploaded_image1_1746735167.jpg
Kaki,7 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5320629_uploaded_image1_1746829743.jpg
T-shirt coton,5 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5320652_uploaded_image1_1746830643.jpg
Lacoste homme,6 500,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5320644_uploaded_image1_1746830346.jpg
Vêtement  homme,5 000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/5364974_uploaded_image1_1749376464.jpg
