type_chaussure,price,adress,url_image
Chaussures Dior cd b30,27 000,"Dakar, Sénégal",https://images.coinafrique.com/5531000_uploaded_image1_1758144695.jpg
Chaussures homme,15 000,"Rufisque, Sénégal",https://images.coinafrique.com/5532315_uploaded_image1_1758209817.jpg
Chaussures homme,14 900,"Rufisque, Sénégal",https://images.coinafrique.com/5532328_uploaded_image1_1758210331.jpg
Chaussures homme,14 900,"Rufisque, Sénégal",https://images.coinafrique.com/5532358_uploaded_image1_1758212393.jpg
Chaussures homme,14 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/5534539_uploaded_image1_1758318499.jpg
Claquettes homme,15 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/5536826_uploaded_image1_1758483459.jpg
Chaussures homme,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5540358_uploaded_image1_1758658630.jpg
Chaussures homme,Prix sur demande,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5540359_uploaded_image1_1758658704.jpg
Crampons Nike,18 500,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/5540996_uploaded_image1_1758700997.jpg
Chaussures Nike,18 500,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/5541013_uploaded_image1_1758702097.jpg
Chaussures Air max,20 000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/5543755_uploaded_image1_1758829018.jpg
Chaussures New balance,24 900,"Dakar, Sénégal",https://images.coinafrique.com/5543793_uploaded_image1_1758830755.jpg
Baskets New Balance,14 900,"Dakar, Sénégal",https://images.coinafrique.com/5543795_uploaded_image1_1758830884.jpg
Chaussures New balance,24 900,"Dakar, Sénégal",https://images.coinafrique.com/5543797_uploaded_image1_1758831062.jpg
Baskets New Balance,14 900,"Dakar, Sénégal",https://images.coinafrique.com/5543799_uploaded_image1_1758831160.jpg
Baskets Asics Gel,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/5545274_uploaded_image1_1758910936.jpg
Baskets Asics Gel,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/5545276_uploaded_image1_1758911052.jpg
Sandale orthopédique,13 000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/5550248_uploaded_image1_1759234219.jpg
Chaussures homme,25 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5551853_uploaded_image1_1759301401.jpg
Chaussures homme,35 000,"Dakar, Sénégal",https://images.coinafrique.com/5551864_uploaded_image1_1759301970.jpg
Chaussures homme,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5551865_uploaded_image1_1759302097.jpg
Baskets Asics Gel NYC,30 000,"Dakar, Sénégal",https://images.coinafrique.com/5554868_uploaded_image1_1759415164.jpg
Baskets Asics Gel NYC,30 000,"Dakar, Sénégal",https://images.coinafrique.com/5554870_uploaded_image1_1759415237.jpg
Baskets Asics Gel NYC,32 000,"Dakar, Sénégal",https://images.coinafrique.com/5554871_uploaded_image1_1759415315.jpg
Baskets Asics Gel Kayano 14,30 000,"Dakar, Sénégal",https://images.coinafrique.com/5554876_uploaded_image1_1759415424.jpg
Baskets Dior B30,28 000,"Dakar, Sénégal",https://images.coinafrique.com/5554883_uploaded_image1_1759415597.jpg
Mocassins homme,5 500,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/5556927_uploaded_image1_1759498840.jpg
Chaussures orthopédique,Prix sur demande,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/5558529_uploaded_image1_1759590627.jpg
Baskets Jordan One,12 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/5558696_uploaded_image1_1759598221.jpg
Baskets Jordan 6,12 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/5558712_uploaded_image1_1759598702.jpg
Chaussures  homme,25 000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/5513838_uploaded_image1_1757286788.jpg
Chayssures pour homme,20 000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/5513842_uploaded_image1_1757287086.jpg
Chaussures blanc,25 000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/5513844_uploaded_image1_1757287356.jpg
Mocassins homme,25 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5559079_uploaded_image1_1759624285.jpg
Chaussures de ville,15 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5559505_uploaded_image1_1759668412.jpg
Baskets Air Max,18 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5559514_uploaded_image1_1759668700.jpg
Chaussures homme,13 000,"Louga, Sénégal",https://images.coinafrique.com/5559847_uploaded_image1_1759687278.jpg
Chaussures  homme,15 000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/5561080_uploaded_image1_1759759275.jpg
Chaussures Nike,25 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/5565350_uploaded_image1_1759967990.jpg
Sandales homme,13 000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/5566807_uploaded_image1_1760037954.jpg
Chaussures de ville,15 000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/5571662_uploaded_image1_1760359156.jpg
Chaussures Jordan,20 000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/5528770_uploaded_image1_1758046694.jpg
Chaussures homme,26 500,"Fass, Dakar, Sénégal",https://images.coinafrique.com/5530971_uploaded_image1_1758143063.jpg
Chaussures,25 000,"Fass, Dakar, Sénégal",https://images.coinafrique.com/5532851_uploaded_image1_1758229466.jpg
Chaussures homme,15 000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/5576741_uploaded_image1_1760612021.jpg
Chaussures  homme,22 000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/5576783_uploaded_image1_1760614360.jpg
Baskets Nike Air Max DN,12 000,"Fann, Dakar, Sénégal",https://images.coinafrique.com/5581422_uploaded_image1_1760893237.jpg
Chaussures homme,Prix sur demande,"Keur Massar, Sénégal",https://images.coinafrique.com/5581477_uploaded_image1_1760896170.jpg
Chaussures pour homme,5 000,"Sicap foire, Dakar, Sénégal",https://images.coinafrique.com/5582673_uploaded_image1_1760964398.jpg
Sandales en cuir,13 000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/5582962_uploaded_image1_1760973522.jpg
Chaussures pour homme,20 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/5583378_uploaded_image1_1760988854.jpg
Chaussures homme,9 500,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/5586755_uploaded_image1_1761166890.jpg
Balenciaga,25 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5588338_uploaded_image1_1761263231.jpg
Sandales Dior Alpha,17 000,"Dakar, Sénégal",https://images.coinafrique.com/5548962_uploaded_image2_1759169765.jpeg
Chaussures New Balance 530,20 000,"Dakar, Sénégal",https://images.coinafrique.com/5548965_uploaded_image1_1759169877.jpg
Baskets Asic kayono,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5548956_uploaded_image1_1759169555.jpg
Baskets Air force,18 000,"Dakar, Sénégal",https://images.coinafrique.com/5548972_uploaded_image1_1759170249.jpg
Chaussures Air f1,20 000,"Dakar, Sénégal",https://images.coinafrique.com/5548969_uploaded_image1_1759170133.jpg
Chaussures homme,8 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5591956_uploaded_image1_1761508658.jpg
Baskets Nike Air force 1,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5588272_uploaded_image1_1761258036.jpg
Baskets Nike Air force,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5588276_uploaded_image1_1761258377.jpg
Asic Gel Nyc,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5588303_uploaded_image1_1761261141.jpg
New Balance,27 000,"Dakar, Sénégal",https://images.coinafrique.com/5560198_uploaded_image1_1759705125.jpg
Chaussures Nike shox,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5560200_uploaded_image1_1759705337.jpg
Baskets Air force montante,18 000,"Dakar, Sénégal",https://images.coinafrique.com/5549311_uploaded_image1_1759187054.jpg
Nike Air Max,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5555902_uploaded_image1_1759447574.jpg
Baskets Asic,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5588722_uploaded_image1_1761293983.jpg
Baskets Nike Air force 1,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5588993_uploaded_image1_1761304542.jpg
Baskets New Balance 740,24 000,"Dakar, Sénégal",https://images.coinafrique.com/5589017_uploaded_image1_1761305990.jpg
Baskets Nike TN,18 000,"Dakar, Sénégal",https://images.coinafrique.com/5550746_uploaded_image1_1759249989.jpg
Baskets Adidas Adizero,27 000,"Dakar, Sénégal",https://images.coinafrique.com/5550760_uploaded_image1_1759250198.jpg
Baskets Adidas campus,17 000,"Dakar, Sénégal",https://images.coinafrique.com/5551113_uploaded_image1_1759265168.jpg
Nike shox R4,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5570882_uploaded_image1_1760305854.jpg
Chaussures Balenciaga,25 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/5593164_uploaded_image1_1761605705.jpg
New Balance,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5580645_uploaded_image1_1760827559.jpg
New balance 1906,25 000,"Dakar, Sénégal",https://images.coinafrique.com/5580643_uploaded_image1_1760827489.jpg
