web_scraper_order,web_scraper_start_url,container_links,type_chaussures,price,adress,url_image
"1771238890-1","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-jordan-2481675","Baskets Jordan","Prix sur demande","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2481675_uploaded_image1_1595675783.jpg""); width: 422px;"
"1771238893-2","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2484004","Chaussures enfants","5 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2484004_uploaded_image1_1595729080.jpg""); width: 568px;"
"1771238895-3","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2484015","Chaussures enfants","7 500 CFA","Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2484015_uploaded_image1_1595729350.jpg""); width: 568px;"
"1771238901-4","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2484019","Chaussures enfants","6 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2484019_uploaded_image1_1595729648.jpg""); width: 568px;"
"1771238903-5","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2484023","Chaussures enfants","6 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2484023_uploaded_image1_1595729844.jpg""); width: 568px;"
"1771238905-6","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2486553","Chaussures enfant","6 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2486553_uploaded_image1_1595806629.jpg""); width: 568px;"
"1771238909-7","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-nike-air-max-2526613","Baskets Nike Air Max","Prix sur demande","Fass, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2526613_uploaded_image1_1596969629.jpg""); width: 422px;"
"1771238911-8","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2530121","Chaussures enfants","Prix sur demande","Fass, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2530121_uploaded_image1_1597069575.jpg""); width: 422px;"
"1771238914-9","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2543182","Chaussures enfant","Prix sur demande","Ouakam, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2543182_uploaded_image1_1597411837.jpg""); width: 400px;"
"1771238916-10","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2584194","Chaussures Enfants","8 000 CFA","Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2584194_uploaded_image1_1598703235.jpg""); width: 559px;"
"1771238919-11","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2594069","Chaussures enfants","Prix sur demande","Ouest Foire, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2594069_uploaded_image1_1599042727.jpg""); width: 541px;"
"1771238921-12","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2601784","Chaussures enfants","3 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2601784_uploaded_image1_1599263254.jpg""); width: 568px;"
"1771238923-13","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2606174","Chaussures enfants","3 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2606174_uploaded_image1_1599441065.jpg""); width: 568px;"
"1771238926-14","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2612829","Chaussures enfant","3 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2612829_uploaded_image1_1599648926.jpg""); width: 568px;"
"1771238928-15","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-fille-2621830","Chaussures fille","6 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2621830_uploaded_image1_1599940781.jpg""); width: 671px;"
"1771238931-16","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-fille-2621836","Chaussures fille","6 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2621836_uploaded_image1_1599940895.jpg""); width: 671px;"
"1771238933-17","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-fille-2621842","Chaussures fille","6 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2621842_uploaded_image1_1599941018.jpg""); width: 671px;"
"1771238935-18","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-garcons-2621850","Chaussures garçons","6 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2621850_uploaded_image1_1599941226.jpg""); width: 671px;"
"1771238938-19","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-garcon-2621852","Chaussures garçon","6 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2621852_uploaded_image1_1599941341.jpg""); width: 671px;"
"1771238940-20","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2621862","Chaussures enfants","6 000 CFA","Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2621862_uploaded_image1_1599941553.jpg""); width: 671px;"
"1771238943-21","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2623386","Chaussures enfants","3 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2623386_uploaded_image1_1600019061.jpg""); width: 568px;"
"1771238945-22","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-2629141","Chaussures enfant","3 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2629141_uploaded_image1_1600221342.jpg""); width: 568px;"
"1771238947-23","https://sn.coinafrique.com/categorie/chaussures-enfants?page=5","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-2642974","Chaussures enfants","3 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2642974_uploaded_image1_1600732549.jpg""); width: 568px;"
