type_chaussures,price,adress,url_image
Baskets Jordan,Prix sur demande,"Dakar, Sénégal",https://images.coinafrique.com/2481675_uploaded_image1_1595675783.jpg
Chaussures enfants,5 000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/2484004_uploaded_image1_1595729080.jpg
Chaussures enfants,7 500,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/2484015_uploaded_image1_1595729350.jpg
Chaussures enfants,6 000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/2484019_uploaded_image1_1595729648.jpg
Chaussures enfants,6 000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/2484023_uploaded_image1_1595729844.jpg
Chaussures enfant,6 000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/2486553_uploaded_image1_1595806629.jpg
Baskets Nike Air Max,Prix sur demande,"Fass, Dakar, Sénégal",https://images.coinafrique.com/2526613_uploaded_image1_1596969629.jpg
Chaussures enfants,Prix sur demande,"Fass, Dakar, Sénégal",https://images.coinafrique.com/2530121_uploaded_image1_1597069575.jpg
Chaussures enfant,Prix sur demande,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/2543182_uploaded_image1_1597411837.jpg
Chaussures Enfants,8 000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/2584194_uploaded_image1_1598703235.jpg
Chaussures enfants,Prix sur demande,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/2594069_uploaded_image1_1599042727.jpg
Chaussures enfants,3 000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/2601784_uploaded_image1_1599263254.jpg
Chaussures enfants,3 000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/2606174_uploaded_image1_1599441065.jpg
Chaussures enfant,3 000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/2612829_uploaded_image1_1599648926.jpg
